Date,AAPL,GOOG,MSFT,IBM,^SPX
2021-09-17,146.06,2829.27,299.87,135.23,4432.99
2021-09-16,148.79,2887.47,305.22,136.43,4473.75
2021-09-15,149.03,2904.12,304.82,137.2,4480.7
2021-09-14,148.12,2868.12,299.79,136.22,4443.05
2021-09-13,149.55,2869.3,296.99,138.15,4468.73
2021-09-10,148.97,2838.42,295.71,137.02,4458.58
2021-09-09,154.07,2898.27,297.25,137.74,4493.28
2021-09-08,155.11,2897.67,300.21,138.67,4514.07
2021-09-07,156.69,2910.38,300.18,138.06,4520.03
2021-09-03,154.3,2895.5,301.14,139.58,4535.43
2021-09-02,153.65,2884.38,301.15,140.01,4536.95
2021-09-01,152.51,2916.84,301.83,139.3,4524.09
2021-08-31,151.83,2909.24,301.88,140.34,4522.68
2021-08-30,153.12,2909.39,303.59,138.97,4528.79
2021-08-27,148.6,2891.01,299.72,139.41,4509.37
2021-08-26,147.54,2842.46,299.09,138.78,4470.0
2021-08-25,148.36,2859.0,302.01,139.86,4496.19
2021-08-24,149.62,2847.97,302.62,139.84,4486.23
2021-08-23,149.71,2821.99,304.65,139.62,4479.53
2021-08-20,148.19,2768.74,304.36,139.11,4441.67
2021-08-19,146.7,2738.27,296.77,138.02,4405.8
2021-08-18,146.36,2731.4,290.73,139.47,4400.27
2021-08-17,150.19,2746.01,292.52,142.42,4448.08
2021-08-16,151.12,2778.32,294.04,143.59,4479.71
2021-08-13,149.1,2768.12,292.29,143.18,4468.0
2021-08-12,148.89,2767.79,289.26,143.07,4460.83
2021-08-11,145.86,2753.79,286.4,142.13,4447.7
2021-08-10,145.6,2761.93,285.89,141.38,4436.75
2021-08-09,146.09,2760.04,287.78,141.25,4432.35
2021-08-06,146.14,2740.72,288.91,142.45,4436.52
2021-08-05,146.84,2738.8,288.97,141.15,4429.1
2021-08-04,146.73,2720.57,285.96,141.14,4402.66
2021-08-03,147.14,2725.6,286.57,142.43,4423.15
2021-08-02,145.3,2719.79,284.28,139.81,4387.16
2021-07-30,145.64,2704.42,284.37,139.36,4395.26
2021-07-29,145.42,2730.81,285.95,140.31,4419.15
2021-07-28,144.76,2727.63,285.67,140.16,4400.64
2021-07-27,146.55,2735.93,285.99,141.13,4401.46
2021-07-26,148.77,2792.89,288.5,141.15,4422.3
2021-07-23,148.34,2756.32,289.12,139.73,4411.79
2021-07-22,146.58,2666.57,285.59,139.11,4367.48
2021-07-21,145.18,2652.01,280.86,139.69,4358.69
2021-07-20,145.93,2622.03,278.79,138.38,4323.06
2021-07-19,142.24,2585.08,276.48,136.35,4258.49
2021-07-16,146.17,2636.91,280.21,137.32,4327.16
2021-07-15,148.26,2625.33,280.49,138.85,4360.03
2021-07-14,148.93,2641.65,281.97,138.23,4374.3
2021-07-13,145.42,2619.89,280.44,138.68,4369.21
2021-07-12,144.28,2611.28,276.79,139.32,4384.63
2021-07-09,144.89,2591.49,277.41,139.91,4369.55
2021-07-08,143.03,2583.54,276.89,139.14,4320.82
2021-07-07,144.35,2601.55,279.4,138.23,4358.13
2021-07-06,141.81,2595.42,277.13,137.2,4343.54
2021-07-02,139.75,2574.38,277.12,138.43,4352.34
2021-07-01,137.06,2527.37,271.08,145.17,4319.94
2021-06-30,136.76,2506.32,270.38,144.92,4297.5
2021-06-29,136.13,2520.37,270.88,143.89,4291.8
